Duration;Src IP Addr;Src Pt;Dst IP Addr;Dst Pt;Packets;class;P;F
28.817;10080;38788;10018;22.0;64;0;1;1
5.853;7;33409;10018;22.0;6;1;1;1
0.053;10079;8000;10019;64840.0;7;0;1;1
6.426;10079;22;8;60537.0;4;1;1;0
0.0;8810;59583;10018;53413.0;1;1;0;0
10.982;10079;22;11;14641.0;21;1;1;1
0.053;10080;55016;10018;8000.0;6;0;1;1
0.075;10079;8000;10019;51498.0;7;0;1;1
0.061;10080;63786;10018;8000.0;6;0;1;1
19.743;4739;36312;10018;22.0;26;1;1;1
0.067;10079;8000;10019;62469.0;7;0;1;1
0.0;10079;23;4466;19949.0;1;1;0;0
0.062;10080;56700;10018;8000.0;6;0;1;1
0.047;10079;8000;10019;63315.0;7;0;1;1
120.949;10079;22;8;30123.0;5;1;1;1
0.0;10079;23;5247;31166.0;1;1;0;0
0.001;10079;23;6533;18896.0;1;1;0;0
0.0;10079;23;9512;21697.0;1;1;0;0
0.944;7870;14628;10018;22.0;6;1;1;1
20.298;10079;22;1137;46633.0;26;1;1;1
9.955;10079;22;9481;31121.0;17;1;1;1
0.045;10079;8000;10019;54968.0;7;0;1;1
9.42;28;46603;10018;22.0;15;1;1;1
0.0;5673;28285;10018;23.0;1;1;0;0
10.873;11;40264;10018;22.0;18;1;1;1
19.367;1137;9059;10018;22.0;24;1;1;1
22.369;10079;22;8;49490.0;7;1;1;1
0.0;10079;23;5993;1361.0;1;1;0;0
1.42;7186;1764;10018;445.0;3;1;0;0
0.0;10079;2323;6127;7334.0;1;1;0;0
12.058;840;50039;10018;22.0;17;1;1;1
17.258;10079;22;11;64081.0;22;1;1;1
0.0;10079;23;583;50553.0;1;1;0;0
26.321;4740;25378;10018;22.0;27;1;1;1
0.086;10080;49427;10018;8000.0;6;0;1;1
0.0;9195;26960;10018;23.0;1;1;0;0
0.0;6159;7334;10018;23.0;1;1;0;0
9.739;10079;22;28;39277.0;19;1;1;1
19.066;10079;22;1137;12726.0;27;1;1;1
0.0;3714;42400;10018;5358.0;1;1;0;0
0.0;10079;23;5525;24170.0;1;1;0;0
19.782;10079;22;4718;15376.0;26;1;1;1
9.408;10079;22;16;48337.0;19;1;1;1
0.063;10080;52765;10018;8000.0;6;0;1;1
0.053;10080;64438;10018;8000.0;6;0;1;1
18.267;4740;37268;10018;22.0;24;1;1;1
0.0;253;0;10018;8.0;1;1;0;0
0.0;1149;13366;10018;5358.0;1;1;0;0
0.052;10080;59021;10018;8000.0;5;0;1;1
0.078;10080;54862;10018;8000.0;6;0;1;1
0.077;10080;60829;10018;8000.0;6;0;1;1
0.0;642;777;10018;5358.0;1;1;0;0
44.924;10079;22;8;49345.0;12;1;1;0
0.0;6718;60423;10018;23.0;1;1;0;0
0.07;10079;8000;10019;58552.0;7;0;1;1
19.858;4739;9868;10018;22.0;24;1;1;1
0.06;10080;58485;10018;8000.0;6;0;1;1
17.299;4740;14822;10018;22.0;24;1;1;1
0.047;10080;60600;10018;8000.0;6;0;1;1
0.068;10080;56919;10018;8000.0;6;0;1;1
9.334;78;47807;10018;22.0;17;1;1;1
0.0;1743;5167;10018;5060.0;1;1;0;0
19.84;10079;22;4687;28518.0;27;1;1;1
21.723;4740;41110;10018;22.0;24;1;1;1
0.0;966;11648;10018;23.0;1;1;0;0
11.051;23;56626;10018;22.0;15;1;1;1
123.908;10079;22;8;18908.0;10;1;1;1
0.0;898;5610;10018;5060.0;1;1;0;0
0.065;10080;55772;10018;8000.0;6;0;1;1
10.598;10079;22;23;52848.0;20;1;1;1
0.061;10079;8000;10019;49655.0;7;0;1;1
0.042;10080;61046;10018;8000.0;6;0;1;1
0.051;10080;60610;10018;8000.0;6;0;1;1
6.978;10079;22;936;44654.0;21;1;1;1
0.078;10080;58703;10018;8000.0;6;0;1;1
0.001;1443;80;10018;214.0;1;1;0;0
0.066;10080;60644;10018;8000.0;6;0;1;1
0.057;10080;63300;10018;8000.0;6;0;1;1
0.074;10079;8000;10019;64442.0;7;0;1;1
0.058;10079;8000;10019;49626.0;7;0;1;1
8.414;27;49488;10018;22.0;17;1;1;1
0.064;10080;65310;10018;8000.0;6;0;1;1
17.063;4602;2917;10018;22.0;15;1;1;0
94.234;8;52905;10018;22.0;5;1;1;0
20.141;10079;22;4718;54448.0;26;1;1;1
0.0;213;60702;10018;161.0;1;1;0;0
18.563;3972;4936;10018;22.0;24;1;1;1
1.376;9256;2831;10018;445.0;3;1;0;0
0.0;517;37875;10018;23.0;1;1;0;0
0.085;10079;8000;10019;53702.0;7;0;1;1
0.053;10080;51637;10018;8000.0;6;0;1;1
0.0;581;36267;10018;27017.0;1;1;0;0
