timestamp,host,service,pid,message
Mar 16 22:54:19,db-server-02,pure-ftpd,5608,"Connection from 10.0.0.50, user web_upload, command STOR backup.zip"
Mar 16 22:56:42,ip-10-50-30-100,pure-ftpd,3988,"Connection from 10.0.0.50, user backup, command LIST"
Mar 16 23:27:17,server-prod-01,cron,7404,Started Daily backup
Mar 16 23:36:21,ip-10-77-20-248,cron,9174,Started Log rotation
Mar 16 23:47:12,ip-10-50-30-100,cron,1180,Started Daily backup
Mar 16 23:51:36,server-prod-01,sshd,9290,Accepted publickey for admin from 192.168.1.100
Mar 16 23:51:57,ip-10-77-20-248,sshd,7547,Invalid user guest from 45.227.253.109
Mar 16 23:51:58,ip-10-77-20-248,sshd,7549,Invalid user admin from 45.227.253.109
Mar 16 23:52:04,ip-10-77-20-248,sshd,7562,Failed password for user123 from 45.227.253.109 port 33302
Mar 16 23:52:05,ip-10-77-20-248,sshd,7548,Invalid user test from 45.227.253.109
Mar 16 23:52:05,ip-10-77-20-248,sshd,7551,Failed password for test from 45.227.253.109 port 34209
Mar 16 23:52:19,ip-10-77-20-248,sshd,7556,Failed password for admin from 45.227.253.109 port 58388
Mar 16 23:52:25,ip-10-77-20-248,sshd,7563,Failed password for root from 45.227.253.109 port 31053
Mar 16 23:52:25,ip-10-77-20-248,sshd,7555,Failed password for oracle from 45.227.253.109 port 43375
Mar 16 23:52:27,ip-10-77-20-248,sshd,7558,Failed password for oracle from 45.227.253.109 port 41134
Mar 16 23:53:25,ip-10-77-20-248,sshd,7554,Failed password for user123 from 45.227.253.109 port 30160
Mar 16 23:53:35,ip-10-77-20-248,sshd,7557,Failed password for oracle from 45.227.253.109 port 57850
Mar 16 23:53:59,ip-10-77-20-248,sshd,7559,Failed password for test from 45.227.253.109 port 58391
Mar 16 23:54:00,ip-10-77-20-248,sshd,7553,Failed password for admin from 45.227.253.109 port 34392
Mar 16 23:54:01,ip-10-77-20-248,sshd,7552,Failed password for user123 from 45.227.253.109 port 48228
Mar 16 23:54:27,ip-10-77-20-248,sshd,7561,Failed password for guest from 45.227.253.109 port 30381
Mar 16 23:54:55,ip-10-77-20-248,sshd,7564,Failed password for root from 45.227.253.109 port 43846
Mar 16 23:55:04,ip-10-77-20-248,sshd,7560,Failed password for admin from 45.227.253.109 port 55368
Mar 16 23:55:33,ip-10-77-20-248,sshd,7550,Failed password for guest from 45.227.253.109 port 31064
Mar 16 23:59:26,ip-10-50-30-100,sudo,5487,backup : TTY=pts/1 ; COMMAND=cat /var/log/syslog
Mar 17 00:38:04,ip-10-77-20-248,service,3720,Started docker service
Mar 17 01:09:33,db-server-02,sshd,7354,Invalid user test from 185.143.223.15
Mar 17 01:09:34,db-server-02,sshd,7356,Invalid user admin from 185.143.223.15
Mar 17 01:09:34,db-server-02,sshd,7362,Failed password for guest from 185.143.223.15 port 43553
Mar 17 01:09:35,db-server-02,sshd,7357,Invalid user admin from 185.143.223.15
Mar 17 01:09:39,db-server-02,sshd,7376,Failed password for root from 185.143.223.15 port 58916
Mar 17 01:09:39,db-server-02,sshd,7383,Failed password for guest from 185.143.223.15 port 46808
Mar 17 01:09:40,db-server-02,cron,3367,Started Daily backup
Mar 17 01:09:45,db-server-02,sshd,7355,Invalid user admin from 185.143.223.15
Mar 17 01:09:51,db-server-02,sshd,7377,Failed password for oracle from 185.143.223.15 port 50268
Mar 17 01:09:52,db-server-02,sshd,7363,Failed password for root from 185.143.223.15 port 40979
Mar 17 01:10:01,db-server-02,sshd,7359,Failed password for oracle from 185.143.223.15 port 59232
Mar 17 01:10:04,db-server-02,sshd,7365,Failed password for test from 185.143.223.15 port 59247
Mar 17 01:10:10,db-server-02,sshd,7382,Failed password for user123 from 185.143.223.15 port 50867
Mar 17 01:10:14,db-server-02,sshd,7368,Failed password for root from 185.143.223.15 port 53973
Mar 17 01:10:32,db-server-02,sshd,7381,Failed password for oracle from 185.143.223.15 port 31496
Mar 17 01:10:44,db-server-02,sshd,7371,Failed password for test from 185.143.223.15 port 44752
Mar 17 01:10:45,db-server-02,sshd,7374,Failed password for root from 185.143.223.15 port 34382
Mar 17 01:10:52,db-server-02,sshd,7366,Failed password for test from 185.143.223.15 port 47127
Mar 17 01:11:01,db-server-02,sshd,7361,Failed password for oracle from 185.143.223.15 port 46276
