Duration;Src IP Addr;Src Pt;Dst IP Addr;Dst Pt;Packets;class;P;F
2.618;10079;22;479;34224.0;13;1;1;1
7.939;10079;22;5986;28967.0;13;1;1;1
16.119;9355;2545;10018;22.0;13;1;1;0
0.0;3331;5059;10018;5358.0;1;1;0;0
30.998;8;12027;10018;22.0;1;1;0;0
121.808;7;42397;10018;22.0;5;1;0;1
120.837;8;58600;10018;22.0;5;1;1;0
0.056;10079;8000;10019;62727.0;7;0;1;1
0.06;10080;53978;10018;8000.0;6;0;1;1
19.356;10079;22;4687;54707.0;26;1;1;1
0.081;10080;61625;10018;8000.0;6;0;1;1
0.0;10079;23;3754;6457.0;1;1;0;0
9.733;10079;22;840;35293.0;19;1;1;1
11.201;8;35150;10018;22.0;5;1;1;0
24.733;9535;53487;10018;22.0;6;1;1;1
0.06;10079;8000;10019;61525.0;7;0;1;1
10.152;10079;22;14;42697.0;19;1;1;1
19.506;4740;11750;10018;22.0;24;1;1;1
9.103;11;34817;10018;22.0;16;1;1;1
10.467;79;52287;10018;22.0;16;1;1;1
0.0;6492;50475;10018;23.0;1;1;0;0
0.053;2548;35775;10018;22.0;7;1;1;1
9.934;10079;22;23;38088.0;19;1;1;1
0.053;10080;50885;10018;8000.0;6;0;1;1
0.0;10079;0;47;3.3;1;1;0;0
22.417;10079;22;4718;50954.0;28;1;1;1
6.356;10079;22;8;58006.0;9;1;1;0
0.049;10079;8000;10019;63996.0;7;0;1;1
0.001;4324;59512;10018;3389.0;1;1;0;0
20.227;4739;47908;10018;22.0;25;1;1;1
0.047;10079;8000;10019;56180.0;7;0;1;1
13.352;10079;22;8;36647.0;6;1;1;1
10.036;10079;22;28;43559.0;19;1;1;1
22.513;10079;22;1137;15824.0;28;1;1;1
0.0;3417;21264;10018;23.0;1;1;0;0
19.406;10079;22;8447;33375.0;26;1;1;1
0.065;10080;56876;10018;8000.0;6;0;1;1
120.493;10079;22;8;45337.0;13;1;1;1
129.767;8;42241;10018;22.0;6;1;1;1
0.0;2972;33135;10018;23.0;1;1;0;0
7.051;10079;22;5743;63870.0;12;1;1;1
0.073;10079;8000;10019;61828.0;7;0;1;1
9.367;10079;22;11;45313.0;19;1;1;1
0.0;10079;0;47;3.3;1;1;0;0
19.405;10079;22;4718;34782.0;26;1;1;1
123.081;8;16794;10018;22.0;7;1;1;0
9.665;10079;22;11;55441.0;19;1;1;1
0.0;6978;8074;10018;23.0;1;1;0;0
0.058;10080;50740;10018;8000.0;6;0;1;1
0.06;10080;65234;10018;8000.0;6;0;1;1
10.381;77;55014;10018;22.0;15;1;1;1
12.705;10079;22;8;60119.0;10;1;1;0
9.549;10079;22;16;52940.0;19;1;1;1
9.222;10079;22;77;47454.0;19;1;1;1
9.188;78;50126;10018;22.0;17;1;1;1
0.049;10079;8000;10019;53006.0;7;0;1;1
14.367;2;3496;10018;22.0;17;1;1;0
0.067;10080;50929;10018;8000.0;6;0;1;1
9.796;78;37222;10018;22.0;17;1;1;1
0.967;7870;21841;10018;22.0;6;1;1;1
19.846;10079;22;1137;39865.0;27;1;1;1
0.0;2407;32994;10018;23.0;1;1;0;0
18.244;1137;11286;10018;22.0;24;1;1;1
0.059;10079;8000;10019;54917.0;7;0;1;1
6.533;10079;22;11;29753.0;6;1;1;1
11.501;10079;22;15;51333.0;20;1;1;1
0.0;10079;7547;9959;24510.0;1;1;0;0
9.646;10079;22;11;17310.0;19;1;1;1
8.826;11;13357;10018;22.0;17;1;1;1
5.104;10079;8000;2305;58738.0;3;1;0;1
9.002;1460;27409;10018;161.0;4;1;0;0
10.393;78;41771;10018;22.0;15;1;1;1
18.498;1137;51650;10018;22.0;24;1;1;1
13.912;2;4671;10018;22.0;13;1;1;0
0.077;10079;8000;10019;54880.0;7;0;1;1
6.407;10079;22;8;36815.0;9;1;1;0
0.0;10079;2077;571;58553.0;1;1;0;0
1.47;10079;8000;10019;49384.0;7;0;1;1
0.055;10079;8000;10019;51242.0;7;0;1;1
0.0;10079;23;6705;51479.0;1;1;0;0
8.54;10079;22;23;51269.0;19;1;1;1
20.374;1137;16822;10018;22.0;24;1;1;1
0.047;4444;55077;10018;3389.0;2;1;0;0
0.086;10080;65361;10018;8000.0;6;0;1;1
0.0;2458;5068;10018;5060.0;1;1;0;0
11.199;11;18416;10018;22.0;17;1;1;1
6.871;10079;22;5743;57575.0;12;1;1;1
120.807;10079;22;8;11113.0;3;1;1;1
10.316;14;51562;10018;22.0;15;1;1;1
1.0;10080;60998;10018;8000.0;6;0;1;1
8.432;8;48400;10018;22.0;6;1;1;1
0.0;10079;5358;2345;57475.0;1;1;0;0
0.084;10080;55886;10018;8000.0;6;0;1;1
20.805;10079;22;5986;44082.0;16;1;1;1
0.0;8972;53977;10018;7547.0;1;1;0;0
16.761;10079;22;3520;58114.0;23;1;1;1
0.0;4996;23641;10018;23.0;1;1;0;0
0.969;7870;64658;10018;22.0;6;1;1;1
10.404;10079;22;14;50081.0;19;1;1;1
0.062;10080;40659;10018;8000.0;8;0;1;1
0.045;10080;60405;10018;8000.0;6;0;1;1
12.577;9355;3945;10018;22.0;14;1;1;0
8.741;8;46250;10018;22.0;8;1;1;1
0.058;10079;8000;10019;62325.0;7;0;1;1
0.072;10079;8000;10019;63693.0;7;0;1;1
9.397;16;43134;10018;22.0;15;1;1;1
0.059;10079;8000;10019;59786.0;7;0;1;1
0.015;31;123;10018;58666.0;1;1;0;0
0.052;10080;54900;10018;8000.0;6;0;1;1
27.603;10079;22;11;32452.0;16;1;1;1
15.181;10079;22;2593;53587.0;23;1;1;1
19.507;10079;22;1137;55588.0;26;1;1;1
6.801;8;19690;10018;22.0;5;1;1;0
0.001;10079;1028;6255;54779.0;1;1;0;0
0.001;7402;14557;10018;5358.0;1;1;0;0
9.875;11;23025;10018;22.0;17;1;1;1
10.994;11;37494;10018;22.0;16;1;1;1
0.95;10079;22;7826;13375.0;5;1;1;1
0.059;10079;8000;10019;61922.0;7;0;1;1
10.186;24;44448;10018;22.0;17;1;1;1
120.483;8;34189;10018;22.0;5;1;1;1
1.161;10080;62962;10018;8000.0;6;0;1;1
0.0;47;5071;10018;5060.0;1;1;0;0
0.979;10079;22;7826;57215.0;5;1;1;1
0.054;10079;8000;10019;64700.0;7;0;1;1
0.0;10079;23;1641;2591.0;1;1;0;0
0.067;10079;8000;10019;49740.0;7;0;1;1
0.0;10079;5358;4229;31345.0;1;1;0;0
20.277;1137;37397;10018;22.0;24;1;1;1
0.0;5725;19439;10018;5358.0;1;1;0;0
11.715;10079;22;8;36462.0;8;1;1;0
3.469;10079;22;8;49918.0;3;1;0;0
0.046;10080;59525;10018;8000.0;6;0;1;1
0.045;10079;8000;10019;51972.0;7;0;1;1
0.954;7870;25729;10018;22.0;6;1;1;1
9.284;16;45617;10018;22.0;17;1;1;1
0.058;10080;62935;10018;8000.0;6;0;1;1
17.957;10079;22;4718;65508.0;26;1;1;1
12.279;23;39768;10018;22.0;19;1;1;1
19.44;4739;11946;10018;22.0;24;1;1;1
5.102;2315;56494;10018;8000.0;5;1;1;1
0.065;10080;56895;10018;8000.0;6;0;1;1
10.298;14;46300;10018;22.0;17;1;1;1
2.389;8539;17066;10018;22.0;12;1;1;1
0.072;10079;8000;10019;51114.0;7;0;1;1
0.058;10079;8000;10019;58004.0;7;0;1;1
9.381;15;37307;10018;22.0;15;1;1;1
10.239;77;59734;10018;22.0;17;1;1;1
8.777;10079;22;15;41729.0;19;1;1;1
19.089;4739;34488;10018;22.0;26;1;1;1
0.0;7609;63059;10018;23.0;1;1;0;0
0.0;2760;43744;10018;23.0;1;1;0;0
0.0;5818;7018;10018;23.0;1;1;0;0
0.0;10079;0;47;3.3;1;1;0;0
28.251;10079;22;3953;60239.0;33;1;1;1
24.687;4708;6122;10018;22.0;24;1;1;1
0.0;10079;23;565;54082.0;1;1;0;0
18.367;1137;37811;10018;22.0;24;1;1;1
0.047;10080;58714;10018;8000.0;6;0;1;1
2.21;10080;59218;10018;8000.0;6;0;1;1
19.251;10079;22;1137;1255.0;26;1;1;1
19.684;1137;23785;10018;22.0;24;1;1;1
0.0;2720;40082;10018;26.0;1;1;0;0
0.056;10080;64122;10018;8000.0;6;0;1;1
0.0;10079;8880;680;46640.0;1;1;0;0
0.064;10079;8000;10019;56664.0;7;0;1;1
8.972;10079;22;14;53443.0;19;1;1;1
0.048;10079;8000;10019;52357.0;7;0;1;1
0.422;10079;22;478;40090.0;11;1;1;1
0.058;10079;8000;10019;62597.0;7;0;1;1
0.078;10080;64423;10018;8000.0;6;0;1;1
0.0;10079;5358;4425;15593.0;1;1;0;0
1.741;10079;22;8493;17737.0;11;1;1;1
0.039;10079;8000;10019;64652.0;7;0;1;1
0.064;10079;8000;10019;56402.0;7;0;1;1
13.389;10079;22;3;2119.0;18;1;1;0
19.879;10079;22;4718;45336.0;26;1;1;1
10.852;840;37335;10018;22.0;17;1;1;1
0.0;8026;15368;10018;5358.0;1;1;0;0
18.644;10079;22;1137;25202.0;26;1;1;1
19.791;10079;22;1137;40451.0;26;1;1;1
12.414;10079;22;79;59926.0;19;1;1;1
9.008;10079;22;11;60736.0;20;1;1;1
0.0;10079;142;1440;80.0;1;1;0;0
22.971;10079;22;4718;57722.0;29;1;1;1
6.525;10079;22;8382;49819.0;9;1;1;1
0.001;10079;2222;441;45364.0;1;1;0;0
0.0;10079;87;1440;80.0;1;1;0;0
3.909;10079;22;7571;48790.0;13;1;1;1
19.254;4739;53460;10018;22.0;24;1;1;1
11.962;11;60914;10018;22.0;16;1;1;1
19.606;1137;62440;10018;22.0;24;1;1;1
10.198;10079;22;24;38649.0;19;1;1;1
19.594;4739;43202;10018;22.0;24;1;1;1
19.897;4740;40802;10018;22.0;24;1;1;1
19.166;10079;22;4687;33806.0;26;1;1;1
6.515;5775;51059;10018;22.0;17;1;1;1
0.077;10080;55532;10018;8000.0;6;0;1;1
0.0;10079;23;7277;60283.0;1;1;0;0
0.029;10079;44489;109;55903.0;1;1;0;0
5.093;10079;8000;2305;55997.0;3;1;0;1
0.063;10079;8000;10019;56663.0;7;0;1;1
0.065;10079;8000;10019;55283.0;7;0;1;1
9.196;24;43540;10018;22.0;17;1;1;1
0.05;10079;8000;10019;51865.0;7;0;1;1
0.0;10079;7547;3462;63901.0;1;1;0;0
8.928;14;53529;10018;22.0;15;1;1;1
1.265;5521;4513;10018;445.0;3;1;0;0
8.98;8;18656;10018;22.0;8;1;1;1
8.68;8;28170;10018;22.0;8;1;1;1
0.058;10080;52008;10018;8000.0;6;0;1;1
16.431;8;59443;10018;22.0;19;1;1;1
0.057;10080;57698;10018;8000.0;6;0;1;1
9.674;79;58695;10018;22.0;15;1;1;1
0.049;10080;52082;10018;8000.0;6;0;1;1
15.027;10079;22;9304;2528.0;18;1;1;0
0.092;10079;8000;10019;49714.0;7;0;1;1
0.0;10079;23;7851;42680.0;1;1;0;0
10.688;77;43939;10018;22.0;17;1;1;1
10.088;10079;22;79;60445.0;19;1;1;1
0.075;10079;8000;10019;65076.0;7;0;1;1
0.068;10079;8000;10019;63885.0;7;0;1;1
18.7;10079;22;4718;32582.0;26;1;1;1
0.121;2116;53174;10018;22.0;5;1;0;1
0.056;10079;8000;10019;53695.0;7;0;1;1
0.299;5626;6896;10018;22.0;2;1;0;0
0.092;10079;8000;10019;49933.0;7;0;1;1
0.055;10080;51591;10018;8000.0;6;0;1;1
120.487;10079;22;8;17783.0;13;1;1;1
